F,d,alpha,F_sae,l0_coeff,seed,EV,MMCS,weighted_MMCS,dead_frac,feature_recovery,l0,tm_final_loss,sae_final_loss,param_name,param_value
10,5,1.0,100,0.1,42,0.991441011428833,0.9888994097709656,0.9884426593780518,0.06999999284744263,1.0,13.106300354003906,0.0015105435159057379,0.0005390013102442026,F,10
10,5,1.0,100,0.1,43,0.9920018911361694,0.9944669008255005,0.994408905506134,0.0899999737739563,1.0,12.17959976196289,0.0005411370657384396,0.000505355594214052,F,10
10,5,1.0,100,0.1,44,0.9912259578704834,0.9841403961181641,0.9836781024932861,0.06000000238418579,1.0,13.203800201416016,0.0013483250513672829,0.0005283314385451376,F,10
20,5,1.0,100,0.1,42,0.9898347854614258,0.9411147832870483,0.9484525322914124,0.029999971389770508,0.8999999761581421,20.513399124145508,0.002460489049553871,0.0005985407042317092,F,20
20,5,1.0,100,0.1,43,0.9890467524528503,0.9233697652816772,0.9236703515052795,0.019999980926513672,0.699999988079071,20.014299392700195,0.002650921232998371,0.000621167360804975,F,20
20,5,1.0,100,0.1,44,0.9896261096000671,0.9484597444534302,0.9541906714439392,0.050000011920928955,0.8500000238418579,19.67530059814453,0.003332199528813362,0.0005818937788717449,F,20
50,5,1.0,100,0.1,42,0.9892920851707458,0.9188192486763,0.9399940371513367,0.029999971389770508,0.699999988079071,19.67140007019043,0.0022621566895395517,0.0005272612906992435,F,50
50,5,1.0,100,0.1,43,0.9893536567687988,0.9201527237892151,0.9284395575523376,0.04000002145767212,0.699999988079071,21.947399139404297,0.002061249688267708,0.0005152211524546146,F,50
50,5,1.0,100,0.1,44,0.9886683821678162,0.923992931842804,0.9414518475532532,0.04000002145767212,0.6399999856948853,21.20330047607422,0.0023847997654229403,0.0005473339115269482,F,50
100,5,1.0,100,0.1,42,0.9887614846229553,0.9148524403572083,0.9238253831863403,0.009999990463256836,0.6100000143051147,19.89430046081543,0.0014669176889583468,0.0005219249869696796,F,100
100,5,1.0,100,0.1,43,0.9883227348327637,0.9094259142875671,0.9205104112625122,0.019999980926513672,0.6100000143051147,18.776599884033203,0.0013939763884991407,0.0004983944818377495,F,100
100,5,1.0,100,0.1,44,0.9869943857192993,0.9156668782234192,0.9246852397918701,0.04000002145767212,0.6399999856948853,23.218900680541992,0.001443000859580934,0.0004745946207549423,F,100
