F,d,alpha,F_sae,l0_coeff,seed,EV,MMCS,weighted_MMCS,dead_frac,feature_recovery,l0,tm_final_loss,sae_final_loss,param_name,param_value
4,2,1.0,20,0.1,42,0.9876826405525208,0.9996203184127808,0.9996448159217834,0.44999998807907104,1.0,3.6572000980377197,0.017956364899873734,0.0020193380769342184,F,4
4,2,1.0,20,0.1,43,0.9890037775039673,0.999975323677063,0.9999753832817078,0.25,1.0,3.5199999809265137,0.008166467770934105,0.0019221981056034565,F,4
4,2,1.0,20,0.1,44,0.9846634268760681,0.995209276676178,0.9939321279525757,0.44999998807907104,1.0,4.826700210571289,0.016508210450410843,0.002233390463516116,F,4
5,2,1.0,20,0.1,42,0.9837645292282104,0.9990606307983398,0.9990144968032837,0.30000001192092896,1.0,4.4096999168396,0.0183732807636261,0.001987812574952841,F,5
5,2,1.0,20,0.1,43,0.9898632764816284,0.9980524778366089,0.9999215006828308,0.25,1.0,3.5362000465393066,0.01484796404838562,0.0019193763146176934,F,5
5,2,1.0,20,0.1,44,0.9865527153015137,0.9995770454406738,0.9999522566795349,0.10000002384185791,1.0,5.5995001792907715,0.012359588406980038,0.0018972570542246103,F,5
6,2,1.0,20,0.1,42,0.9857547283172607,0.9971583485603333,0.9992813467979431,0.30000001192092896,1.0,3.8236000537872314,0.015515183098614216,0.0017717209411785007,F,6
6,2,1.0,20,0.1,43,0.9897438287734985,0.9987919926643372,0.9998931288719177,0.25,1.0,3.2555999755859375,0.013653072528541088,0.0018589698011055589,F,6
6,2,1.0,20,0.1,44,0.9820218682289124,0.9974047541618347,0.9994859099388123,0.3999999761581421,1.0,3.345099925994873,0.018868805840611458,0.0017723188502714038,F,6
8,2,1.0,20,0.1,42,0.9887818098068237,0.9911409020423889,0.9992537498474121,0.30000001192092896,1.0,2.7007999420166016,0.01396167278289795,0.0017168809426948428,F,8
8,2,1.0,20,0.1,43,0.9891161322593689,0.9982102513313293,0.9994770884513855,0.19999998807907104,1.0,3.4196999073028564,0.015071490779519081,0.0017331353155896068,F,8
8,2,1.0,20,0.1,44,0.9865278005599976,0.9773515462875366,0.9997541308403015,0.1499999761581421,0.875,3.552799940109253,0.014348498545587063,0.001701981178484857,F,8
10,2,1.0,20,0.1,42,0.9884469509124756,0.9903938174247742,0.9984744787216187,0.25,1.0,3.3176000118255615,0.012126903049647808,0.0015183534706011415,F,10
10,2,1.0,20,0.1,43,0.9893493056297302,0.992051899433136,0.9974120259284973,0.25,1.0,2.476300001144409,0.013258037157356739,0.0014938460662961006,F,10
10,2,1.0,20,0.1,44,0.9884143471717834,0.9992800951004028,0.9999051690101624,0.19999998807907104,1.0,2.6640000343322754,0.013590666465461254,0.0015429394552484155,F,10
